,count,mean,std,min,25%,50%,75%,max,missing_pct
realized_var_50,360.0,876.0589424662968,285.4568410156069,94.82897024434901,770.8540633730398,880.8721692170623,1061.2539793926971,1369.676124736608,0.0
autocorr_50_lag5,360.0,-0.0021366465263101065,0.14431482737139537,-0.29638057002409296,-0.08405414135904601,0.0023203740870122204,0.07940202757060427,0.4505759988173813,0.0
corr_T10Y2Y_50,360.0,0.01397110916606921,0.09471041360286642,-0.2510271722821251,-0.05274635091783888,0.01572298700039165,0.07358634273386094,0.3420271649242871,0.0
beta_VIXCLS_50,360.0,0.14202184063882012,0.3531364429086038,-0.5991036616579233,-0.059267356593693116,0.03182801473004048,0.20993884643785227,1.844169894044683,0.0
autocorr_50_lag1,360.0,-0.2642077856074639,0.09257830889650302,-0.4357521096911973,-0.32393193220740135,-0.2714929833393316,-0.23092767409104586,-0.01550015465784781,0.0
beta_FEDFUNDS_50,360.0,1.8768197018036485,9.960588590984985,-16.30367358869016,-0.6801286444580886,0.0,0.3417207934126506,72.19064480168,0.0
corr_DTWEXBGS_50,360.0,0.016557389229539067,0.0958424743160763,-0.29916048709671006,-0.043757381889648034,0.01101036588715208,0.07913349431992399,0.2639717957421868,0.0
rolling_kurt_50,360.0,2.867454070576424,7.930829831668046,-1.0320987178383938,-0.09079192716434181,0.9359264302801841,1.6575264981910651,49.996362671731475,0.0
beta_T10YIEM_50,360.0,-4.191159589127826,27.12913207333717,-169.2858346338737,-3.369127037136861,2.451553420950357,6.615828773343904,44.347392887980476,0.0
corr_DFII10_50,360.0,0.006462748861623975,0.09956080091437061,-0.24045999849323235,-0.06556357850743988,0.012939088794963697,0.07492024091853958,0.24622888551736682,0.0
beta_DCOILWTICO_50,360.0,0.0034050880178749963,0.09604757913009164,-0.22716617906107422,-0.057211497583745094,0.0030881457068969997,0.0613389557511279,0.31949502826305093,0.0
beta_T10Y2Y_50,360.0,0.28156536149665345,3.4737216089224994,-11.960983547516589,-1.9134202297195169,0.5275505101397916,2.3880529852394603,11.75992475258818,0.0
beta_DTWEXBGS_50,360.0,0.09514154009395424,0.3504437248560112,-0.6597387945399007,-0.15738768044402954,0.032427200284883266,0.31430627336023487,1.2180975180100946,0.0
log_return_50,360.0,0.035294042780090816,1.7085856184817052,-2.4768170010539396,-2.229274838747945,0.03538673284106948,2.290054715255465,2.537210107862861,0.0
corr_DGS2_50,360.0,0.004654387174349059,0.09337045898146575,-0.25404578681703693,-0.056021941095698545,0.00027327272697182667,0.057116575356030194,0.2587495433511332,0.0
amihud_50,360.0,205015942.89598998,597623681.3689008,0.0010494665078895676,0.016664152977405835,0.032812456273819235,0.11349978815552987,1942256300.7154195,0.0
rolling_std_50,360.0,3.806360024260563,0.6750769485941731,1.3772275421414062,3.704805672850183,3.9159469284079904,4.214357122346911,4.642946159266902,0.0
hurst_50,360.0,0.6553957287906766,0.06843454703374248,0.4891585121754194,0.6060629775646376,0.6700040808526146,0.7051206228492576,0.7828784763368056,0.0
corr_DGS10_50,360.0,0.015426743574016275,0.09373819130672105,-0.2305044731576143,-0.047166301150842055,0.013031119636619612,0.07546946552355659,0.26534136225203414,0.0
sharpe_50,360.0,6.4810178457907845,1.4011568761123352,2.011788047289781,6.08903601668278,6.617093773502827,7.347399184172696,8.636528769948885,0.0
beta_DFII10_50,360.0,0.10163769450524346,2.986404216566167,-11.613668713333777,-1.8005494304177978,0.37980507172068345,1.9150070247128663,8.788089315666163,0.0
beta_DGS10_50,360.0,0.35735050304258564,2.2043592080927725,-7.498718232393306,-1.063898884645067,0.23478542542793635,1.7432524685320896,6.448039726439504,0.0
jump_50,360.0,767.1796839949174,239.13897183868795,94.62854735397727,686.0314061872127,785.1132840792807,924.7306637986627,1172.249097517126,0.0
kyle_lambda_50,360.0,-3.986534414289012e-07,1.891081422004371e-07,-8.467638367550641e-07,-5.10360228389166e-07,-3.8867417244264104e-07,-2.5517492382542693e-07,-6.839796097544583e-08,0.0
bipower_var_50,360.0,108.87925847137922,51.7687912755852,0.19709143402095786,84.52866791458555,112.52186886502015,140.22677056055585,222.32444742227662,0.0
real_yield_chg_1d,360.0,0.0009166666666666647,0.06529976943741371,-0.27,-0.040000000000000036,0.0,0.040000000000000036,0.24,0.0
real_yield_chg_5d,360.0,0.015388888888888886,0.13352250971440474,-0.43999999999999995,-0.07000000000000006,0.020000000000000018,0.10000000000000009,0.47,0.0
dxy_mom_5,360.0,0.00016668918472775575,0.007396423786089039,-0.027071729668115885,-0.005093590249806962,0.00037606289601199716,0.0049865152733280516,0.027545708197078023,0.0
dxy_mom_10,360.0,0.000336918152952199,0.010496333757116645,-0.022670565736552017,-0.007539918248321148,-0.0001836425223532001,0.007974946434641472,0.04151923407484759,0.0
corr_T10YIEM_50,360.0,0.023513661634289848,0.11228883726549499,-0.28462319580987006,-0.048697075136750284,0.03206653420567975,0.10634467273723561,0.29232197299973556,0.0
yield_curve_slope_chg_20d,360.0,0.0014444444444444433,0.17353805494764207,-0.41,-0.11250000000000002,0.009999999999999981,0.12,0.44999999999999996,0.0
real_yield_chg_20d,360.0,0.028999999999999995,0.2652052340282689,-0.6099999999999999,-0.14250000000000007,0.020000000000000018,0.18999999999999995,1.0799999999999998,0.0
dxy_mom_20,360.0,0.0011632266530768385,0.014307136848432326,-0.04039897189705133,-0.009815259819019734,-9.900837402748719e-05,0.011834252325532979,0.040377067529720145,0.0
rolling_mean_100,360.0,1103.5748386472067,172.21524183222382,837.2925019836425,981.2991765975952,1052.4309505462647,1197.252903213501,1499.5133003234864,0.0
drawdown_100,360.0,-0.48218434126551446,0.4397118756560608,-0.9209048620103266,-0.9100713378350642,-0.9058228430919595,-0.02218867420734519,0.0,0.0
vol_of_vol_100,360.0,0.2953467358865905,0.235691769291281,0.08211375923445886,0.12867753739704868,0.18017670366084684,0.4725512095518546,0.996970059615968,0.0
zscore_100,360.0,0.009143185458120416,1.030433614899772,-1.2360198733573045,-0.979183285090144,-0.8210025405661341,1.0916980127849867,1.2420680089967429,0.0
corr_DCOILWTICO_100,360.0,0.009591114603010233,0.09300424696983113,-0.16485202084469913,-0.058067801124662796,0.004646624245178041,0.04418723007252739,0.346045412311612,0.0
corr_DGS10_100,360.0,0.0129501155802443,0.06844490309222986,-0.14290722000928233,-0.03629525516812801,0.004473441531081779,0.06578130138782164,0.1752879424753845,0.0
beta_DGS2_100,360.0,0.06341357682938976,1.067960098159906,-2.895379034732347,-0.6599892822666118,0.0611209171468048,0.8830339327142002,3.4269000124033577,0.0
return_100,360.0,2.1727886672053085,4.564345181505504,-0.9181926252072914,-0.8919787638414584,0.0680322733567803,0.19413557827394012,11.98924863530694,0.0
beta_DTWEXBGS_100,360.0,0.012602866433121519,0.19246500953496126,-0.4493462386347635,-0.0976133907957129,-0.011622600639348269,0.13245541643806755,0.7150244542889739,0.0
corr_DTWEXBGS_100,360.0,-0.004177679657222454,0.07732349787237312,-0.24324054655322708,-0.040655217403277974,-0.00361610383979026,0.0480655475341905,0.1729668791702768,0.0
